product_id,product_name,category,price
101,Flex Speaker,Accessories,68.57
102,Premium Headset,Stationery,103.85
103,Flex Stand,Home,488.53
104,Pro Headset,Accessories,490.44
105,Essential Mouse,Stationery,186.82
106,Smart Mouse,Stationery,72.02
107,Eco Adapter,Office,153.14
108,Smart Stand,Home,60.26
109,Premium Lamp,Accessories,239.99
110,Essential Router,Office,483.08
111,Ultra Chair,Office,65.89
112,Smart Monitor,Accessories,46.29
113,Essential Keyboard,Accessories,407.45
114,Compact Stand,Stationery,68.03
115,Pro Speaker,Stationery,397.45
116,Premium Headset,Stationery,196.38
117,Essential Stand,Stationery,495.11
118,Ultra Speaker,Accessories,39.5
119,Essential Adapter,Electronics,316.49
120,Eco Webcam,Electronics,86.95
121,Compact Notebook,Stationery,86.69
122,Smart Dock,Home,240.25
123,Premium Keyboard,Accessories,356.4
124,Prime Adapter,Accessories,462.71
125,Flex Dock,Accessories,218.31
126,Eco Keyboard,Electronics,455.11
127,Essential Stand,Stationery,91.29
128,Premium Keyboard,Office,461.37
129,Compact Headset,Stationery,347.44
130,Premium Keyboard,Stationery,274.58
131,Compact Tablet,Home,29.52
132,Smart Keyboard,Accessories,305.81
133,Prime Stand,Electronics,481.33
134,Essential Stand,Electronics,499.78
135,Eco Notebook,Stationery,383.91
136,Essential Monitor,Stationery,329.23
137,Premium Keyboard,Office,223.57
138,Advanced Lamp,Electronics,180.49
139,Advanced Chair,Office,430.28
140,Compact Router,Stationery,151.22
141,Ultra Lamp,Home,27.97
142,Compact Router,Stationery,168.39
143,Smart Adapter,Stationery,414.2
144,Smart Dock,Stationery,236.36
145,Premium Adapter,Office,187.26
146,Pro Headset,Stationery,382.39
147,Essential Notebook,Office,74.19
148,Prime Speaker,Accessories,69.49
149,Essential Webcam,Electronics,357.78
150,Ultra Dock,Electronics,280.59
151,Ultra Adapter,Accessories,236.1
152,Essential Webcam,Home,254.19
153,Premium Notebook,Accessories,213.58
154,Eco Chair,Accessories,233.82
155,Flex Tablet,Accessories,461.71
156,Essential Speaker,Office,433.36
157,Flex Headset,Electronics,176.53
158,Essential Router,Stationery,148.58
159,Premium Router,Accessories,294.15
160,Premium Lamp,Home,228.8
161,Flex Chair,Office,280.43
162,Pro Tablet,Accessories,467.09
163,Pro Router,Office,290.17
164,Premium Tablet,Office,31.38
165,Eco Notebook,Electronics,199.17
166,Prime Lamp,Electronics,71.85
167,Premium Keyboard,Stationery,438.34
168,Smart Tablet,Accessories,456.11
169,Eco Keyboard,Office,210.88
170,Essential Lamp,Stationery,392.94
171,Ultra Router,Home,349.42
172,Flex Chair,Home,427.64
173,Premium Router,Stationery,317.12
174,Ultra Dock,Home,27.58
175,Ultra Chair,Electronics,498.73
176,Ultra Notebook,Accessories,382.57
177,Smart Mouse,Home,350.05
178,Essential Lamp,Home,400.1
179,Pro Webcam,Office,221.03
180,Eco Monitor,Accessories,287.29
181,Compact Stand,Accessories,48.68
182,Prime Monitor,Accessories,253.85
183,Essential Notebook,Home,235.95
184,Premium Microphone,Home,336.74
185,Eco Keyboard,Office,342.02
186,Prime Headset,Office,473.16
187,Premium Router,Home,348.24
188,Compact Router,Office,107.61
189,Compact Stand,Home,62.25
190,Essential Mouse,Office,291.65
191,Prime Router,Electronics,144.49
192,Premium Router,Home,456.19
193,Pro Stand,Home,390.1
194,Pro Stand,Home,117.3
195,Eco Adapter,Electronics,342.09
196,Smart Headset,Office,452.66
197,Advanced Tablet,Accessories,26.34
198,Essential Lamp,Office,54.16
199,Eco Speaker,Stationery,96.05
200,Advanced Webcam,Stationery,439.46
